desired_saving,MonthlyPayment,IncomeTotal
319.56,0,26500
319.56,0,6200
70.3,0,12000
6.39,0,11175
191.75,0,22000
19.17,0,8700
12.7862,0,10200
287.59,0,12000
306.7842,0,9000
319.5681,0,8300
5500,246.42,650
1200,37.9,445
1000,67.25,1117
2000,63.9,2097
1000,30.4,1472
4100,162.26,503
1800,53.72,690
2000,83.28,1800
700,27.15,970
2360,113.31,4020
2000,91.97,1700
600,18.19,718
1000,41.94,1200
1000,35.97,1410
287.59,0,10700
700,29.43,712
1000,28.17,560
2000,93.51,850
1000,53.62,1079
500,21.6,928
3000,92.17,1350
1000,30.95,614
1500,60.73,1215
1000,121.99,420
700,59.51,430
1400,53.57,779
2000,64.33,2400
1000,61.82,1050
3500,115.77,1622
3000,84.72,745
1000,35.97,1400
1500,80.42,1110
3000,124.58,2036
1500,62.62,1900
3000,102.12,1530
7900,294.98,3100
1000,81.06,1000
1500,52.84,1500
1500,51.44,445
2000,60.38,1260
1500,43.22,1918
1500,99.81,1206
3000,97.85,3300
800,25.73,1961
3000,217.47,2264
2000,82.92,2090
1500,47.93,1700
3000,203.83,849
1100,94.44,1550
800,29.74,1361
1500,53.42,1600
1000,53.62,1676
7500,211.8,917
1500,74.91,1598
800,34.77,751
1500,67.72,1500
1000,41.94,1350
1000,28.78,1430
3000,125.8,1000
1000,36.38,781
1315,99.19,1043
9340,285.29,2675
2000,63.07,2200
2500,111.85,392
1500,68.98,1697
2200,83.06,3411
5000,143.08,2048
5000,185.81,2627
1500,56.63,3250
1200,64.83,1138
5000,171.05,1282
6400,586.48,1035
2500,70.8,2800
1500,67.72,1590
1100,42.85,850
3000,136.89,1582
600,27.28,840
3000,92.45,3500
3000,126.18,2103
500,30.96,991
500,30.96,700
1500,81.04,1866
2500,181.36,2500
4500,172.61,2275
3000,92.87,2086
1500,77.52,2070
3000,89.53,970
500,27.01,900
10000,282.5,2000
500,33.28,600
3800,107.68,568
500,18.19,974
1300,52.42,1500
500,21.18,1700
1000,46.4,1251
3000,94.61,3100
6000,170.24,625
500,33.28,1890
500,33.28,936
1400,53.18,1212
3700,106.02,1105
1000,36.38,817
4000,114.47,2620
1000,36.86,1000
5000,299.11,1662
3000,124.83,2150
3000,118.26,465
1200,97.77,1597
1000,30.81,1330
3000,162.08,1325
3000,85.63,2334
1000,51.67,1157
1500,43.68,1725
500,21.18,600
4000,115.45,2300
3700,125.68,2200
